Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
001102  IXXIITodas las causas;Total;Todas las edades;01 Andalucía;2016;69231
001102  IXXIITodas las causas;Total;Todas las edades;02 Aragón;2016;13481
001102  IXXIITodas las causas;Total;Todas las edades;03 Asturias, Principado de;2016;13204
001102  IXXIITodas las causas;Total;Todas las edades;04 Balears, Illes;2016;7939
001102  IXXIITodas las causas;Total;Todas las edades;05 Canarias;2016;15035
001102  IXXIITodas las causas;Total;Todas las edades;06 Cantabria;2016;5936
001102  IXXIITodas las causas;Total;Todas las edades;07 Castilla y León;2016;28436
001102  IXXIITodas las causas;Total;Todas las edades;08 Castilla  La Mancha;2016;19144
001102  IXXIITodas las causas;Total;Todas las edades;09 Cataluña;2016;63289
001102  IXXIITodas las causas;Total;Todas las edades;10 Comunitat Valenciana;2016;42697
001102  IXXIITodas las causas;Total;Todas las edades;11 Extremadura;2016;11237
001102  IXXIITodas las causas;Total;Todas las edades;12 Galicia;2016;31757
001102  IXXIITodas las causas;Total;Todas las edades;13 Madrid, Comunidad de;2016;45066
001102  IXXIITodas las causas;Total;Todas las edades;14 Murcia, Región de;2016;10867
001102  IXXIITodas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;2016;5727
001102  IXXIITodas las causas;Total;Todas las edades;16 País Vasco;2016;21224
001102  IXXIITodas las causas;Total;Todas las edades;17 Rioja, La;2016;2967
001102  IXXIITodas las causas;Total;Todas las edades;18 Ceuta;2016;508
001102  IXXIITodas las causas;Total;Todas las edades;19 Melilla;2016;486
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andalucía;2016;1288
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;02 Aragón;2016;157
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;2016;178
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;2016;226
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;2016;342
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;2016;57
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y León;2016;518
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla  La Mancha;2016;219
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;09 Cataluña;2016;1043
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;10 Comunitat Valenciana;2016;828
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;11 Extremadura;2016;166
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;12 Galicia;2016;400
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;13 Madrid, Comunidad de;2016;904
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;14 Murcia, Región de;2016;172
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;15 Navarra, Comunidad Foral de;2016;76
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;16 País Vasco;2016;337
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;17 Rioja, La;2016;42
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;18 Ceuta;2016;15
001008  IEnfermedades infecciosas y parasitarias;Total;Todas las edades;19 Melilla;2016;11
001  Enfermedades infecciosas intestinales;Total;Todas las edades;01 Andalucía;2016;140
001  Enfermedades infecciosas intestinales;Total;Todas las edades;02 Aragón;2016;30
001  Enfermedades infecciosas intestinales;Total;Todas las edades;03 Asturias, Principado de;2016;28
001  Enfermedades infecciosas intestinales;Total;Todas las edades;04 Balears, Illes;2016;16
001  Enfermedades infecciosas intestinales;Total;Todas las edades;05 Canarias;2016;47
001  Enfermedades infecciosas intestinales;Total;Todas las edades;06 Cantabria;2016;7
001  Enfermedades infecciosas intestinales;Total;Todas las edades;07 Castilla y León;2016;98
001  Enfermedades infecciosas intestinales;Total;Todas las edades;08 Castilla  La Mancha;2016;51
001  Enfermedades infecciosas intestinales;Total;Todas las edades;09 Cataluña;2016;143
001  Enfermedades infecciosas intestinales;Total;Todas las edades;10 Comunitat Valenciana;2016;86
001  Enfermedades infecciosas intestinales;Total;Todas las edades;11 Extremadura;2016;25
001  Enfermedades infecciosas intestinales;Total;Todas las edades;12 Galicia;2016;66
001  Enfermedades infecciosas intestinales;Total;Todas las edades;13 Madrid, Comunidad de;2016;95
001  Enfermedades infecciosas intestinales;Total;Todas las edades;14 Murcia, Región de;2016;35
001  Enfermedades infecciosas intestinales;Total;Todas las edades;15 Navarra, Comunidad Foral de;2016;13
001  Enfermedades infecciosas intestinales;Total;Todas las edades;16 País Vasco;2016;50
001  Enfermedades infecciosas intestinales;Total;Todas las edades;17 Rioja, La;2016;7
001  Enfermedades infecciosas intestinales;Total;Todas las edades;18 Ceuta;2016;2
001  Enfermedades infecciosas intestinales;Total;Todas las edades;19 Melilla;2016;2
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;01 Andalucía;2016;40
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;02 Aragón;2016;11
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;03 Asturias, Principado de;2016;13
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;04 Balears, Illes;2016;3
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;05 Canarias;2016;12
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;06 Cantabria;2016;2
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;07 Castilla y León;2016;15
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;08 Castilla  La Mancha;2016;11
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;09 Cataluña;2016;38
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;10 Comunitat Valenciana;2016;22
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;11 Extremadura;2016;6
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;12 Galicia;2016;28
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;13 Madrid, Comunidad de;2016;20
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;14 Murcia, Región de;2016;7
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;15 Navarra, Comunidad Foral de;2016;2
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;16 País Vasco;2016;18
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;17 Rioja, La;2016;0
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;18 Ceuta;2016;1
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;19 Melilla;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;01 Andalucía;2016;2
003  Enfermedad meningocócica;Total;Todas las edades;02 Aragón;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;03 Asturias, Principado de;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;04 Balears, Illes;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;05 Canarias;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;06 Cantabria;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;07 Castilla y León;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;08 Castilla  La Mancha;2016;2
003  Enfermedad meningocócica;Total;Todas las edades;09 Cataluña;2016;6
003  Enfermedad meningocócica;Total;Todas las edades;10 Comunitat Valenciana;2016;3
003  Enfermedad meningocócica;Total;Todas las edades;11 Extremadura;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;12 Galicia;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;13 Madrid, Comunidad de;2016;2
003  Enfermedad meningocócica;Total;Todas las edades;14 Murcia, Región de;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;15 Navarra, Comunidad Foral de;2016;1
003  Enfermedad meningocócica;Total;Todas las edades;16 País Vasco;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;17 Rioja, La;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;18 Ceuta;2016;0
003  Enfermedad meningocócica;Total;Todas las edades;19 Melilla;2016;0
004  Septicemia;Total;Todas las edades;01 Andalucía;2016;746
004  Septicemia;Total;Todas las edades;02 Aragón;2016;69
004  Septicemia;Total;Todas las edades;03 Asturias, Principado de;2016;84
