Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
001-102  I-XXII.Todas las causas;Total;Todas las edades;01 Andalucía;2002;61.742
001-102  I-XXII.Todas las causas;Total;Todas las edades;02 Aragón;2002;12.985
001-102  I-XXII.Todas las causas;Total;Todas las edades;03 Asturias, Principado de;2002;12.424
001-102  I-XXII.Todas las causas;Total;Todas las edades;04 Balears, Illes;2002;7.114
001-102  I-XXII.Todas las causas;Total;Todas las edades;05 Canarias;2002;11.863
001-102  I-XXII.Todas las causas;Total;Todas las edades;06 Cantabria;2002;5.278
001-102  I-XXII.Todas las causas;Total;Todas las edades;07 Castilla y León;2002;26.349
001-102  I-XXII.Todas las causas;Total;Todas las edades;08 Castilla - La Mancha;2002;17.577
001-102  I-XXII.Todas las causas;Total;Todas las edades;09 Cataluña;2002;57.862
001-102  I-XXII.Todas las causas;Total;Todas las edades;10 Comunitat Valenciana;2002;38.023
001-102  I-XXII.Todas las causas;Total;Todas las edades;11 Extremadura;2002;10.549
001-102  I-XXII.Todas las causas;Total;Todas las edades;12 Galicia;2002;28.353
001-102  I-XXII.Todas las causas;Total;Todas las edades;13 Madrid, Comunidad de;2002;39.281
001-102  I-XXII.Todas las causas;Total;Todas las edades;14 Murcia, Región de;2002;9.441
001-102  I-XXII.Todas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;2002;4.989
001-102  I-XXII.Todas las causas;Total;Todas las edades;16 País Vasco;2002;18.627
001-102  I-XXII.Todas las causas;Total;Todas las edades;17 Rioja, La;2002;2.634
001-102  I-XXII.Todas las causas;Total;Todas las edades;18 Ceuta;2002;509
001-102  I-XXII.Todas las causas;Total;Todas las edades;19 Melilla;2002;446
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andalucía;2002;1.120
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;02 Aragón;2002;163
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;2002;191
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;2002;123
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;2002;280
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;2002;98
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y León;2002;452
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla - La Mancha;2002;324
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;09 Cataluña;2002;1.133
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;10 Comunitat Valenciana;2002;657
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;11 Extremadura;2002;172
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;12 Galicia;2002;483
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;13 Madrid, Comunidad de;2002;782
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;14 Murcia, Región de;2002;155
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;15 Navarra, Comunidad Foral de;2002;87
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;16 País Vasco;2002;398
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;17 Rioja, La;2002;33
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;18 Ceuta;2002;17
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;19 Melilla;2002;17
001  Enfermedades infecciosas intestinales;Total;Todas las edades;01 Andalucía;2002;51
001  Enfermedades infecciosas intestinales;Total;Todas las edades;02 Aragón;2002;12
001  Enfermedades infecciosas intestinales;Total;Todas las edades;03 Asturias, Principado de;2002;15
001  Enfermedades infecciosas intestinales;Total;Todas las edades;04 Balears, Illes;2002;4
001  Enfermedades infecciosas intestinales;Total;Todas las edades;05 Canarias;2002;12
001  Enfermedades infecciosas intestinales;Total;Todas las edades;06 Cantabria;2002;11
001  Enfermedades infecciosas intestinales;Total;Todas las edades;07 Castilla y León;2002;38
001  Enfermedades infecciosas intestinales;Total;Todas las edades;08 Castilla - La Mancha;2002;13
001  Enfermedades infecciosas intestinales;Total;Todas las edades;09 Cataluña;2002;67
001  Enfermedades infecciosas intestinales;Total;Todas las edades;10 Comunitat Valenciana;2002;31
001  Enfermedades infecciosas intestinales;Total;Todas las edades;11 Extremadura;2002;12
001  Enfermedades infecciosas intestinales;Total;Todas las edades;12 Galicia;2002;16
001  Enfermedades infecciosas intestinales;Total;Todas las edades;13 Madrid, Comunidad de;2002;37
001  Enfermedades infecciosas intestinales;Total;Todas las edades;14 Murcia, Región de;2002;11
001  Enfermedades infecciosas intestinales;Total;Todas las edades;15 Navarra, Comunidad Foral de;2002;7
001  Enfermedades infecciosas intestinales;Total;Todas las edades;16 País Vasco;2002;18
001  Enfermedades infecciosas intestinales;Total;Todas las edades;17 Rioja, La;2002;0
001  Enfermedades infecciosas intestinales;Total;Todas las edades;18 Ceuta;2002;0
001  Enfermedades infecciosas intestinales;Total;Todas las edades;19 Melilla;2002;0
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;01 Andalucía;2002;62
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;02 Aragón;2002;12
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;03 Asturias, Principado de;2002;38
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;04 Balears, Illes;2002;10
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;05 Canarias;2002;21
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;06 Cantabria;2002;3
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;07 Castilla y León;2002;42
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;08 Castilla - La Mancha;2002;16
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;09 Cataluña;2002;72
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;10 Comunitat Valenciana;2002;46
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;11 Extremadura;2002;15
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;12 Galicia;2002;40
002  Tuberculosis y sus efectos tardíos;Total;Todas las edades;13 Madrid, Comunidad de;2002;55
