Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
001-102  I-XXII.Todas las causas;Total;Todas las edades;01 Andalucía;2004;63.036
001-102  I-XXII.Todas las causas;Total;Todas las edades;02 Aragón;2004;13.175
001-102  I-XXII.Todas las causas;Total;Todas las edades;03 Asturias, Principado de;2004;12.550
001-102  I-XXII.Todas las causas;Total;Todas las edades;04 Balears, Illes;2004;7.050
001-102  I-XXII.Todas las causas;Total;Todas las edades;05 Canarias;2004;12.517
001-102  I-XXII.Todas las causas;Total;Todas las edades;06 Cantabria;2004;5.214
001-102  I-XXII.Todas las causas;Total;Todas las edades;07 Castilla y León;2004;26.341
001-102  I-XXII.Todas las causas;Total;Todas las edades;08 Castilla - La Mancha;2004;17.443
001-102  I-XXII.Todas las causas;Total;Todas las edades;09 Cataluña;2004;57.716
001-102  I-XXII.Todas las causas;Total;Todas las edades;10 Comunitat Valenciana;2004;38.379
001-102  I-XXII.Todas las causas;Total;Todas las edades;11 Extremadura;2004;10.421
001-102  I-XXII.Todas las causas;Total;Todas las edades;12 Galicia;2004;28.540
001-102  I-XXII.Todas las causas;Total;Todas las edades;13 Madrid, Comunidad de;2004;40.293
001-102  I-XXII.Todas las causas;Total;Todas las edades;14 Murcia, Región de;2004;9.595
001-102  I-XXII.Todas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;2004;5.003
001-102  I-XXII.Todas las causas;Total;Todas las edades;16 País Vasco;2004;18.679
001-102  I-XXII.Todas las causas;Total;Todas las edades;17 Rioja, La;2004;2.666
001-102  I-XXII.Todas las causas;Total;Todas las edades;18 Ceuta;2004;491
001-102  I-XXII.Todas las causas;Total;Todas las edades;19 Melilla;2004;455
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andalucía;2004;1.188
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;02 Aragón;2004;220
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;2004;215
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;2004;138
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;2004;286
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;2004;112
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y León;2004;494
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla - La Mancha;2004;312
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;09 Cataluña;2004;1.114
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;10 Comunitat Valenciana;2004;816
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;11 Extremadura;2004;173
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;12 Galicia;2004;537
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;13 Madrid, Comunidad de;2004;837
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;14 Murcia, Región de;2004;163
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;15 Navarra, Comunidad Foral de;2004;92
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;16 País Vasco;2004;407
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;17 Rioja, La;2004;27
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;18 Ceuta;2004;20
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;19 Melilla;2004;19
001  Enfermedades infecciosas intestinales;Total;Todas las edades;01 Andalucía;2004;67
001  Enfermedades infecciosas intestinales;Total;Todas las edades;02 Aragón;2004;21
001  Enfermedades infecciosas intestinales;Total;Todas las edades;03 Asturias, Principado de;2004;17
001  Enfermedades infecciosas intestinales;Total;Todas las edades;04 Balears, Illes;2004;8
001  Enfermedades infecciosas intestinales;Total;Todas las edades;05 Canarias;2004;10
001  Enfermedades infecciosas intestinales;Total;Todas las edades;06 Cantabria;2004;4
001  Enfermedades infecciosas intestinales;Total;Todas las edades;07 Castilla y León;2004;56
001  Enfermedades infecciosas intestinales;Total;Todas las edades;08 Castilla - La Mancha;2004;22
