Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
001-102  I-XXII.Todas las causas;Total;Todas las edades;01 Andalucía;1983;50.558
001-102  I-XXII.Todas las causas;Total;Todas las edades;02 Aragón;1983;10.798
001-102  I-XXII.Todas las causas;Total;Todas las edades;03 Asturias, Principado de;1983;10.237
001-102  I-XXII.Todas las causas;Total;Todas las edades;04 Balears, Illes;1983;6.478
001-102  I-XXII.Todas las causas;Total;Todas las edades;05 Canarias;1983;8.985
001-102  I-XXII.Todas las causas;Total;Todas las edades;06 Cantabria;1983;4.344
001-102  I-XXII.Todas las causas;Total;Todas las edades;07 Castilla y León;1983;22.019
001-102  I-XXII.Todas las causas;Total;Todas las edades;08 Castilla - La Mancha;1983;15.564
001-102  I-XXII.Todas las causas;Total;Todas las edades;09 Cataluña;1983;44.934
001-102  I-XXII.Todas las causas;Total;Todas las edades;10 Comunitat Valenciana;1983;31.123
001-102  I-XXII.Todas las causas;Total;Todas las edades;11 Extremadura;1983;10.562
001-102  I-XXII.Todas las causas;Total;Todas las edades;12 Galicia;1983;25.686
001-102  I-XXII.Todas las causas;Total;Todas las edades;13 Madrid, Comunidad de;1983;30.337
001-102  I-XXII.Todas las causas;Total;Todas las edades;14 Murcia, Región de;1983;7.888
001-102  I-XXII.Todas las causas;Total;Todas las edades;15 Navarra, Comunidad Foral de;1983;4.164
001-102  I-XXII.Todas las causas;Total;Todas las edades;16 País Vasco;1983;14.853
001-102  I-XXII.Todas las causas;Total;Todas las edades;17 Rioja, La;1983;2.111
001-102  I-XXII.Todas las causas;Total;Todas las edades;18 Ceuta;1983;443
001-102  I-XXII.Todas las causas;Total;Todas las edades;19 Melilla;1983;359
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;01 Andalucía;1983;593
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;02 Aragón;1983;102
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;03 Asturias, Principado de;1983;131
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;04 Balears, Illes;1983;58
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;05 Canarias;1983;122
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;06 Cantabria;1983;60
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;07 Castilla y León;1983;217
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;08 Castilla - La Mancha;1983;156
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;09 Cataluña;1983;431
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;10 Comunitat Valenciana;1983;274
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;11 Extremadura;1983;97
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;12 Galicia;1983;313
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;13 Madrid, Comunidad de;1983;352
